scenario,variant,run,router_power,ed_power,log_path,active_parent_router_id,active_parent_tx_power,standby_router_tx_power,output_power_dbm,attach_count,detach_count,detach_to_child_windows,detach_to_child_median_ms,detach_to_child_max_ms,initial_attach_ms,standby_yes,standby_no,diag_lines,callback_registered,preferred_requests,generic_requests,parent_response_security_warnings,preferred_success,preferred_miss,preferred_timeout,final_state,final_outcome,final_failovers,standby_discovered,targeted_attach_requested,targeted_outcome_success,targeted_outcome_miss,targeted_outcome_timeout,generic_fallback_used,failover_trigger_to_stable_child_ms,final_parent_after_recovery,natural_parent_switch
active-parent-ramp-down,A,001,4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-001-router-4dB-ed-8dB.log,P1,4dB,8dB,8dBm,3,2,2,1377,1461,623,13,10,23,1,0,1,0,0,1,0,8,miss,2,,1,0,2,0,1,1305,0xe000,no
active-parent-ramp-down,A,002,4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-002-router-4dB-ed-8dB.log,P1,4dB,8dB,8dBm,1,0,0,,,594,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,003,0dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-003-router-0dB-ed-8dB.log,P1,0dB,8dB,8dBm,1,0,0,,,604,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,004,-4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-004-router--4dB-ed-8dB.log,P1,-4dB,8dB,8dBm,1,0,0,,,594,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,005,-4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-005-router--4dB-ed-8dB.log,P1,-4dB,8dB,8dBm,1,0,0,,,594,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,006,-4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-006-router--4dB-ed-8dB.log,P1,-4dB,8dB,8dBm,1,0,0,,,604,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,007,-8dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-007-router--8dB-ed-8dB.log,P1,-8dB,8dB,8dBm,1,0,0,,,5536,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0xe099,no
active-parent-ramp-down,A,008,-8dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-008-router--8dB-ed-8dB.log,P1,-8dB,8dB,8dBm,1,0,0,,,599,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,009,-12dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-009-router--12dB-ed-8dB.log,P1,-12dB,8dB,8dBm,1,0,0,,,596,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,010,-12dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-010-router--12dB-ed-8dB.log,P1,-12dB,8dB,8dBm,1,0,0,,,606,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
